relative_path,filename,hash,filename_dup,hash_dup,conflict_type
zdu-narrativa-app/private/rules/RULESTACK.md,RULESTACK.md,2636f83b05a8f8da42301607bea56bb4,False,False,Unique
zdu-narrativa-app/private/rules/ZDU-RULESTACK.md,ZDU-RULESTACK.md,ca5c74ff60218ee83ff93ab0f7a53419,False,False,Unique
zdu-narrativa-app/private/campaigns/NODO-CAMP.md,NODO-CAMP.md,5ea2772aaf69aa5f58b5f708e23757bb,True,False,Name Duplicate
zdu-narrativa-app/private/universe/ifrl/IFRL.md,IFRL.md,e99844f17fad4282f414f006529b1023,False,False,Unique
zdu-narrativa-app/private/universe/mutacore/MUTACORE.md,MUTACORE.md,ae2fba7d1da46108a06757e77dee19f0,False,False,Unique
zdu-narrativa-app/private/universe/nodecamp/NODO-CAMP.md,NODO-CAMP.md,810ded7feb54c66aacd656173df1f628,True,False,Name Duplicate
zdu-narrativa-app/private/universe/cerebrum/CEREBRUM.md,CEREBRUM.md,70e8926eed8e4927c1407ebd851a8c74,False,False,Unique
__MACOSX/zdu-narrativa-app/._iCrawler.md,._iCrawler.md,b0b9a9cb59f89b18f7412065b0862f8d,False,True,Content Duplicate
__MACOSX/zdu-narrativa-app/._README.md,._README.md,ef9ea67a8b533616c8b9f2a15164c9ac,True,False,Name Duplicate
__MACOSX/zdu-narrativa-app/zdu-storage/._readme.md,._readme.md,db40dbe3217bfec4c2a47419bdd57643,True,False,Name Duplicate
__MACOSX/zdu-narrativa-app/zdu-storage/crawlers/._readme.md,._readme.md,8458794e7c5c06cbb43af00cc98d371c,True,False,Name Duplicate
__MACOSX/zdu-narrativa-app/docs/._README_COMPONENTES_ZDU.md,._README_COMPONENTES_ZDU.md,b0b9a9cb59f89b18f7412065b0862f8d,False,True,Content Duplicate
__MACOSX/zdu-narrativa-app/private/._changelog.md,._changelog.md,9df8b00d18ccd0911f79622d1f62cc86,False,False,Unique
__MACOSX/zdu-narrativa-app/private/._readme.md,._readme.md,c200066a7a02691e94bc9c7d02ecdfb4,True,False,Name Duplicate
__MACOSX/zdu-narrativa-app/private/experimental/._README.md,._README.md,1694129d891dc3e476454f8ff8d7d21f,True,False,Name Duplicate
__MACOSX/zdu-narrativa-app/private/infra/._ZDU_INFRA_INDEX.md,._ZDU_INFRA_INDEX.md,b0b9a9cb59f89b18f7412065b0862f8d,False,True,Content Duplicate
__MACOSX/zdu-narrativa-app/private/infra/._readme.md,._readme.md,24391db1eb93da53502abfef9acfe2c4,True,False,Name Duplicate
__MACOSX/zdu-narrativa-app/private/infra/experimental/._readme.md,._readme.md,ba3d8d0cf3d0e4185c074f26027e7982,True,False,Name Duplicate
__MACOSX/zdu-narrativa-app/private/infra/experimental/._README-AI-MASTER2.md,._README-AI-MASTER2.md,b0b9a9cb59f89b18f7412065b0862f8d,False,True,Content Duplicate
__MACOSX/zdu-narrativa-app/private/infra/identity/clerk/._README-CLERK-IDENTITY.md,._README-CLERK-IDENTITY.md,b0b9a9cb59f89b18f7412065b0862f8d,False,True,Content Duplicate
